player_id,game_id,name,team,pos,hits,blocks
8476892,2019020149,C. Parayko,STL,D,1.0,0.0
8476897,2019020149,O. Sundqvist,STL,C,2.0,0.0
8476907,2019020149,M. MacEachern,STL,LW,5.0,0.0
8477018,2019020149,B. Hutton,LAK,D,0.0,4.0
8477073,2019020149,K. MacDermid,LAK,D,4.0,0.0
8477482,2019020149,Z. Sanford,STL,LW,4.0,0.0
8477964,2019020149,I. Barbashev,STL,C,3.0,0.0
8478020,2019020149,M. Amadio,LAK,C,0.0,1.0
8478407,2019020149,V. Dunn,STL,D,0.0,1.0
8478455,2019020149,A. Wagner,LAK,LW,2.0,1.0
8478911,2019020149,M. Roy,LAK,D,0.0,1.0
8480113,2019020149,A. Iafallo,LAK,C,1.0,0.0
8480336,2019020149,S. Walker,LAK,D,1.0,2.0
8481481,2019020149,B. Lizotte,LAK,C,2.0,0.0
8471214,2019020154,A. Ovechkin,WSH,LW,2.0,0.0
8471698,2019020154,T. Oshie,WSH,RW,2.0,3.0
8471707,2019020154,J. Neal,EDM,LW,1.0,0.0
8471729,2019020154,K. Russell,EDM,D,2.0,2.0
8474040,2019020154,S. Gagner,EDM,C,0.0,1.0
8474189,2019020154,L. Eller,WSH,C,1.0,0.0
8474590,2019020154,J. Carlson,WSH,D,0.0,1.0
8475163,2019020154,A. Chiasson,EDM,RW,1.0,0.0
8475178,2019020154,Z. Kassian,EDM,RW,3.0,0.0
8475200,2019020154,D. Orlov,WSH,D,2.0,3.0
8475324,2019020154,N. Jensen,WSH,D,1.0,2.0
8475343,2019020154,N. Dowd,WSH,C,1.0,1.0
8475430,2019020154,B. Manning,EDM,D,2.0,1.0
8475462,2019020154,R. Gudas,WSH,D,1.0,3.0
8475772,2019020154,R. Sheahan,EDM,C,1.0,0.0
8476326,2019020154,J. Archibald,EDM,RW,1.0,1.0
8476454,2019020154,R. Nugent-Hopkins,EDM,C,1.0,1.0
8476880,2019020154,T. Wilson,WSH,RW,3.0,2.0
8476894,2019020154,B. Leipsic,WSH,LW,0.0,1.0
8476905,2019020154,C. Stephenson,WSH,C,1.0,0.0
8476915,2019020154,J. Khaira,EDM,LW,2.0,0.0
8476988,2019020154,M. Benning,EDM,D,2.0,2.0
8477498,2019020154,D. Nurse,EDM,D,2.0,0.0
8477903,2019020154,G. Hathaway,WSH,RW,3.0,0.0
8477934,2019020154,L. Draisaitl,EDM,C,1.0,0.0
8477944,2019020154,J. Vrana,WSH,LW,1.0,0.0
8478399,2019020154,J. Siegenthaler,WSH,D,1.0,3.0
8478451,2019020154,E. Bear,EDM,D,1.0,6.0
8479482,2019020154,M. Kempny,WSH,D,0.0,2.0
8470281,2019020161,D. Keith,CHI,D,0.0,1.0
8470607,2019020161,B. Seabrook,CHI,D,1.0,0.0
8473533,2019020161,J. Staal,CAR,C,2.0,1.0
8473604,2019020161,J. Toews,CHI,C,1.0,0.0
8474250,2019020161,Z. Smith,CHI,LW,3.0,0.0
