name,pos,dist,hand,st_x,st_y,goal,team,event,period,period_time_remaining,game_id,player_id,shot_id,period_type,miss_loc,assist,assist2,blocker,goalie,scorer,date_time,shot_type,missed_net,empty,gw
M. Sergachev,D,46.51881339845203,L,47.0,-20.0,False,TBL,Shot,1,248.0,2019020021,8479410.0,2019020021_87,REGULAR,,,,,8475683.0,,2019-10-06 00:45:25,wrist,False,False,False
P. Maroon,LW,7.615773105863909,L,82.0,-3.0,False,TBL,Shot,1,246.0,2019020021,8474034.0,2019020021_88,REGULAR,,,,,8475683.0,,2019-10-06 00:45:25,wrist,False,False,False
D. Hunt,LW,50.60632371551998,L,45.0,-25.0,False,FLA,Missed Shot,1,149.0,2019020021,8478211.0,2019020021_94,REGULAR,wide of net,,,,,,2019-10-06 00:47:28,,True,False,False
C. Sceviour,C,64.63745044476924,R,36.0,-37.0,False,FLA,Shot,1,148.0,2019020021,8474098.0,2019020021_95,REGULAR,,,,,8476883.0,,2019-10-06 00:47:05,wrist,False,False,False
K. Shattenkirk,D,59.77457653551382,R,32.0,-18.0,False,TBL,Shot,1,22.0,2019020021,8474031.0,2019020021_105,REGULAR,,,,,8475683.0,,2019-10-06 00:50:28,wrist,False,False,False
K. Shattenkirk,D,47.16990566028302,R,64.0,-40.0,False,TBL,Shot,1,1.0,2019020021,8474031.0,2019020021_107,REGULAR,,,,,8475683.0,,2019-10-06 00:50:50,wrist,False,False,False
A. Cirelli,C,22.02271554554524,L,72.0,-14.0,False,TBL,Shot,2,1155.0,2019020021,8478519.0,2019020021_114,REGULAR,,,,,8475683.0,,2019-10-06 01:10:28,backhand,False,False,False
E. Cernak,D,22.09072203437452,R,67.0,-2.0,False,TBL,Shot,2,1083.0,2019020021,8478416.0,2019020021_116,REGULAR,,,,,8475683.0,,2019-10-06 01:11:37,snap,False,False,False
E. Dadonov,RW,45.044422518220834,L,44.0,2.0,False,FLA,Shot,2,1067.0,2019020021,8474149.0,2019020021_117,REGULAR,,,,,8476883.0,,2019-10-06 01:11:53,deflected,False,False,False
F. Vatrano,C,41.593268686170845,L,52.0,19.0,False,FLA,Missed Shot,2,1017.0,2019020021,8478366.0,2019020021_119,REGULAR,wide of net,,,,,,2019-10-06 01:12:43,,True,False,False
Y. Gourde,C,25.6124969497314,L,73.0,-20.0,False,TBL,Shot,2,956.0,2019020021,8476826.0,2019020021_122,REGULAR,,,,,8475683.0,,2019-10-06 01:13:50,wrist,False,False,False
C. Verhaeghe,C,8.246211251235321,L,87.0,-8.0,False,TBL,Shot,2,955.0,2019020021,8477409.0,2019020021_123,REGULAR,,,,,8475683.0,,2019-10-06 01:14:05,wrist,False,False,False
E. Dadonov,RW,28.792360097775937,L,62.0,-10.0,False,FLA,Shot,2,667.0,2019020021,8474149.0,2019020021_149,REGULAR,,,,,8476883.0,,2019-10-06 01:24:52,tip-in,False,False,False
A. Barkov,C,8.246211251235321,L,81.0,-2.0,False,FLA,Shot,2,666.0,2019020021,8477493.0,2019020021_150,REGULAR,,,,,8476883.0,,2019-10-06 01:25:00,wrist,False,False,False
M. Hoffman,LW,26.1725046566048,L,70.0,-18.0,True,FLA,Goal,2,621.0,2019020021,8474884.0,2019020021_153,REGULAR,,8476456.0,8471735.0,,8476883.0,8474884.0,2019-10-06 01:25:57,wrist,False,False,False
K. Yandle,D,58.52349955359813,L,34.0,20.0,False,FLA,Shot,2,547.0,2019020021,8471735.0,2019020021_160,REGULAR,,,,,8476883.0,,2019-10-06 01:31:03,wrist,False,False,False
M. Hoffman,LW,23.43074902771996,L,74.0,-18.0,True,FLA,Goal,2,535.0,2019020021,8474884.0,2019020021_162,REGULAR,,8476456.0,8477493.0,,8476883.0,8474884.0,2019-10-06 01:31:17,snap,False,False,False
L. Witkowski,RW,55.08175741568164,R,36.0,15.0,False,TBL,Shot,2,512.0,2019020021,8474722.0,2019020021_165,REGULAR,,,,,8475683.0,,2019-10-06 01:32:31,slap,False,False,False
V. Trocheck,C,28.16025568065745,R,81.0,-27.0,False,FLA,Shot,2,493.0,2019020021,8476389.0,2019020021_167,REGULAR,,,,,8476883.0,,2019-10-06 01:32:50,snap,False,False,False
M. Weegar,D,30.4138126514911,R,62.0,14.0,False,FLA,Shot,2,482.0,2019020021,8477346.0,2019020021_169,REGULAR,,,,,8476883.0,,2019-10-06 01:33:03,wrist,False,False,False
M. Weegar,D,65.73431371817918,R,34.0,36.0,False,FLA,Shot,2,475.0,2019020021,8477346.0,2019020021_172,REGULAR,,,,,8476883.0,,2019-10-06 01:33:41,slap,False,False,False
N. Acciari,C,7.810249675906654,R,83.0,-5.0,True,FLA,Goal,2,448.0,2019020021,8478569.0,2019020021_175,REGULAR,,8474098.0,8478211.0,,8476883.0,8478569.0,2019-10-06 01:34:11,backhand,False,False,False
